experiment_source,evaluation_protocol,experiment_kind,training_method,prediction_method,ratio,predict_ratio,seed,h_model,h_predict,noise_level,best_loss,train_mse,validation_mse,extrapolate_mse,residual_mse,residual_rel_error,model_vf_mse,model_vf_rel_error,instability_rate,final_mse,final_l2_error
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,4,adaptive,0,0.0125,adaptive,0,0.002702376819075037,7.427811127630544e-05,4.2196852136874796e-05,0.0014953556808387698,0.00023428290838158384,0.01350284575958014,0.00023428290838158243,0.0007257078645361817,0.0,0.0013923606378683723,0.14925739581640152
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,4,adaptive,1,0.0125,adaptive,0,0.0028415585028088203,0.0002215393568573742,0.00011342812463995616,0.003247684439416296,0.00013199670399672704,0.010135298571085548,0.00013199670399672694,0.0005447196845332129,0.0,0.0012137108930781744,0.13935341506131377
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,4,adaptive,2,0.0125,adaptive,0,0.00432469136508362,0.001703035141725844,0.0010903542786433393,0.018909541238929923,0.009991727020564643,0.08818105362386171,0.009991727020564643,0.00473927387288124,0.0,0.023005652012183138,0.6067045674749203
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,4,adaptive,3,0.0125,adaptive,0,0.0027645025011884274,0.0001369936773453421,5.8760791582923565e-05,0.0019756137620516078,0.0005330804648572132,0.02036814074645094,0.000533080464857215,0.0010946818314348415,0.0,0.0011875400623273973,0.137842812642656
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,4,adaptive,4,0.0125,adaptive,0,0.004194029087352166,0.0015741640160705543,0.0008809180586759525,0.019713688688057146,0.012097821445922679,0.09703057134872292,0.012097821445922677,0.005214889511586708,0.0,0.020436736549280198,0.5718284574839584
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,8,adaptive,0,0.00625,adaptive,0,0.0038863874423511395,0.0012598010879699693,0.000740367264814516,0.014168932584391232,0.0065461242825646405,0.07137516523905411,0.006546124282564645,0.0038360446137660565,0.0,0.015554268065183223,0.49886700536609113
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,8,adaptive,1,0.00625,adaptive,0,0.0028401616754344427,0.00021170248393531868,0.00011734402657996848,0.0031122418258073456,0.0001414028889204539,0.010490209091257495,0.00014140288892045463,0.0005637942826054522,0.0,0.0013197972634043868,0.14531605628584265
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,8,adaptive,2,0.00625,adaptive,0,0.0034410178076203822,0.0008138184367655542,0.0004481964561240832,0.009870470912333664,0.006702859741401057,0.07222458737559503,0.006702859741401055,0.0038816966441435423,0.0,0.010252809215099397,0.4050246257224249
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,8,adaptive,3,0.00625,adaptive,0,0.0027162026498931857,8.710436581417198e-05,4.065398638558773e-05,0.0019472429423954894,0.00026773384469116926,0.014434662724320379,0.00026773384469116937,0.0007757881892070372,0.0,0.0018753090405616679,0.1732193541408889
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,8,adaptive,4,0.00625,adaptive,0,0.004044674551583598,0.001413607911804213,0.0007688757997679312,0.017948185576154914,0.011847979020558284,0.09602341377452357,0.011847979020558288,0.005160760020260402,0.0,0.01812147119821141,0.5384640555983125
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,16,adaptive,0,0.003125,adaptive,0,0.0027323066619665552,0.00010426501002214273,5.2808371658636064e-05,0.0017013543691039165,0.0003153611827373881,0.01566603604079693,0.00031536118273738865,0.0008419681127474533,0.0,0.0013053898261675982,0.14452071553476883
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,16,adaptive,1,0.003125,adaptive,0,0.003809907740280911,0.0011869751642437747,0.0007883781885899823,0.010689147999763242,0.004510831738904743,0.05924931275453533,0.004510831738904743,0.003184342989611939,0.0,0.012461354744280447,0.446521753007048
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,16,adaptive,2,0.003125,adaptive,0,0.004400493330277963,0.0017738048004509383,0.001137223177631742,0.020462834450637717,0.009305417302378117,0.08509870092542039,0.009305417302378112,0.0045736134162366725,0.0,0.025118445047781636,0.6339519861665441
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,16,adaptive,3,0.003125,adaptive,0,0.0032117479935518545,0.0005855777250861544,0.00031776448536095824,0.005846361930874894,0.0030510784993840233,0.04872834868870151,0.003051078499384018,0.0026188957867761104,0.0,0.005341188336158754,0.2923337362990116
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,16,adaptive,4,0.003125,adaptive,0,0.0036695587948869703,0.0010420525364096779,0.0005591160757861782,0.014458716453845916,0.010107867616654734,0.08869206694266468,0.010107867616654737,0.0047667381860298196,0.0,0.014182100892305618,0.47635450483530634
diffrax_train_rk4_eval,rk4_high_precision_eval,diffrax_train_rk4_predict,diffrax_tsit5,rk4_high_precision,adaptive,16,0,adaptive,0.003125,0,0.0028578538344123296,0.00028864517552251094,0.0001680692566718537,0.003093228990797622,0.0007971495257197207,0.02490719950789269,0.0007971495257197192,0.0013386326770136723,0.0,0.0017917261609182735,0.1693151457333111
diffrax_train_rk4_eval,rk4_high_precision_eval,diffrax_train_rk4_predict,diffrax_tsit5,rk4_high_precision,adaptive,16,1,adaptive,0.003125,0,0.002817807845566645,0.00019410491063314868,0.00010730907435569406,0.00327023468003107,0.00017875781138672296,0.011794716806428523,0.0001787578113867227,0.0006339048004254495,0.0,0.0016115332620204967,0.16057562764108363
diffrax_train_rk4_eval,rk4_high_precision_eval,diffrax_train_rk4_predict,diffrax_tsit5,rk4_high_precision,adaptive,16,2,adaptive,0.003125,0,0.004281453653952534,0.001655766160219251,0.0010280944215991304,0.017738026162378684,0.010434364385192891,0.0901131150910278,0.010434364385192891,0.004843112147157236,0.0,0.021579172971695884,0.5875940499589272
diffrax_train_rk4_eval,rk4_high_precision_eval,diffrax_train_rk4_predict,diffrax_tsit5,rk4_high_precision,adaptive,16,3,adaptive,0.003125,0,0.002711076444169269,9.680230967800683e-05,4.9322948742587435e-05,0.0017943878430078247,0.00024082009279148764,0.013689934277057584,0.00024082009279148943,0.0007357629011495959,0.0,0.001872939174533743,0.17310986913674184
