group,x_metric,y_metric,n,pearson,log_log_pearson,spearman
rk4_ratio2,parameter_rel_error,extrapolate_mse,12,0.5179509635735547,0.5717724189148268,0.5524475524475525
rk4_ratio2,model_vf_rel_error,extrapolate_mse,12,-0.4535967252570194,-0.4448703614854413,-0.39860139860139865
rk4_ratio2,residual_mse,extrapolate_mse,12,-0.4782544268167162,-0.4448703614854411,-0.39860139860139865
rk4_ratio2,residual_rel_error,extrapolate_mse,12,-0.7108437507002398,-0.6459733417953477,-0.5104895104895105
rk4_ratio4,best_loss,extrapolate_mse,12,0.3660593692281324,0.4893132642563397,0.5454545454545455
rk4_ratio4,validation_mse,extrapolate_mse,12,0.366059196582662,0.48931404730691574,0.5454545454545455
rk4_ratio4,parameter_rel_error,model_vf_rel_error,12,0.0890597305876978,0.19034000746807056,-0.31468531468531474
rk4_ratio4,parameter_rel_error,extrapolate_mse,12,0.555280247158351,0.5739859368691214,0.6573426573426573
rk4_ratio4,model_vf_rel_error,extrapolate_mse,12,-0.5761362078018987,-0.5564069656208748,-0.5454545454545455
rk4_ratio4,residual_mse,extrapolate_mse,12,-0.595028821418544,-0.5564069656208749,-0.5454545454545455
rk4_ratio4,residual_rel_error,extrapolate_mse,12,-0.7958013846174048,-0.7343166664141975,-0.7132867132867133
rk4_ratio8,best_loss,extrapolate_mse,12,0.43872766297516846,0.5911120768958666,0.43356643356643365
rk4_ratio8,validation_mse,extrapolate_mse,12,0.43872786216335,0.5911125425686277,0.43356643356643365
rk4_ratio8,parameter_rel_error,model_vf_rel_error,12,0.23726630183598607,0.3151607699526269,0.006993006993006993
rk4_ratio8,parameter_rel_error,extrapolate_mse,12,0.5703762511244254,0.5873187875922009,0.6083916083916086
rk4_ratio8,model_vf_rel_error,extrapolate_mse,12,-0.35519145132372937,-0.36503564735791094,-0.3216783216783217
rk4_ratio8,residual_mse,extrapolate_mse,12,-0.3388325565169769,-0.3650356473579086,-0.3216783216783217
rk4_ratio8,residual_rel_error,extrapolate_mse,12,-0.7743253394194501,-0.6765298179399409,-0.6013986013986015
rk4_ratio16,best_loss,extrapolate_mse,12,0.01916618662742363,0.22761442179994906,0.3426573426573427
rk4_ratio16,validation_mse,extrapolate_mse,12,0.01916575800188501,0.22761372867520624,0.3426573426573427
rk4_ratio16,parameter_rel_error,model_vf_rel_error,12,-0.05297963046341651,0.02868378545880868,-0.3426573426573427
rk4_ratio16,parameter_rel_error,extrapolate_mse,12,0.3036622141741598,0.38418020302668915,0.5594405594405596
rk4_ratio16,model_vf_rel_error,extrapolate_mse,12,-0.8349113474503044,-0.8221793067496561,-0.7552447552447553
