training_solver,ratio,h,search_stage,alpha,loss
forward_euler,2,0.025,global_grid,0.0155,298.41429332050234
forward_euler,2,0.025,global_grid,0.015600000000000001,301.8398781709343
forward_euler,2,0.025,global_grid,0.015700000000000002,305.2570910597218
forward_euler,2,0.025,global_grid,0.0158,308.66576290529883
forward_euler,2,0.025,global_grid,0.0159,312.065731757134
forward_euler,2,0.025,global_grid,0.016,315.4568425889854
forward_euler,2,0.025,global_grid,0.0161,318.83894709704884
forward_euler,2,0.025,global_grid,0.0162,322.2119035029487
forward_euler,2,0.025,global_grid,0.016300000000000002,325.5755763615005
forward_euler,2,0.025,global_grid,0.0164,328.9298363731869
forward_euler,2,0.025,global_grid,0.0165,332.2745602012781
forward_euler,2,0.025,global_grid,0.0166,335.6096302935252
forward_euler,2,0.025,global_grid,0.0167,338.93493470835443
forward_euler,2,0.025,global_grid,0.016800000000000002,342.25036694548857
forward_euler,2,0.025,global_grid,0.016900000000000002,345.5558257809202
forward_euler,2,0.025,global_grid,0.017,348.85121510615477
forward_euler,2,0.025,global_grid,0.0171,352.13644377165303
forward_euler,2,0.025,global_grid,0.0172,355.4114254343874
forward_euler,2,0.025,global_grid,0.0173,358.6760784094306
forward_euler,2,0.025,global_grid,0.017400000000000002,361.93032552550505
forward_euler,2,0.025,global_grid,0.0175,365.17409398440077
forward_euler,2,0.025,global_grid,0.0176,368.4073152241913
forward_euler,2,0.025,global_grid,0.0177,371.6299247861574
forward_euler,2,0.025,global_grid,0.0178,374.84186218534865
forward_euler,2,0.025,global_grid,0.0179,378.04307078469066
forward_euler,2,0.025,global_grid,0.018000000000000002,381.2334976725672
forward_euler,2,0.025,global_grid,0.0181,384.4130935437948
forward_euler,2,0.025,global_grid,0.0182,387.5818125839106
forward_euler,2,0.025,global_grid,0.0183,390.7396123566962
forward_euler,2,0.025,global_grid,0.0184,393.88645369486085
forward_euler,2,0.025,global_grid,0.018500000000000003,397.0223005938096
forward_euler,2,0.025,global_grid,0.018600000000000002,400.1471201084153
forward_euler,2,0.025,global_grid,0.0187,403.26088225272804
forward_euler,2,0.025,global_grid,0.0188,406.3635599025453
forward_euler,2,0.025,global_grid,0.0189,409.4551287007672
forward_euler,2,0.025,global_grid,0.019,412.5355669654775
forward_euler,2,0.025,global_grid,0.019100000000000002,415.60485560066525
forward_euler,2,0.025,global_grid,0.019200000000000002,418.662978009534
forward_euler,2,0.025,global_grid,0.0193,421.70992001031925
forward_euler,2,0.025,global_grid,0.0194,424.74566975455775
forward_euler,2,0.025,global_grid,0.0195,427.7702176477386
forward_euler,2,0.025,global_grid,0.0196,430.783556272273
