training_config,regularization_profile,parameter,true_value,learned_mean,learned_std,learned_min,learned_max,abs_error_mean,abs_error_std,relative_error_mean,relative_error_std,n_runs
forward_euler_ratio16,ortho_small,a,1.0,0.9036098886379996,0.020849136583404898,0.8798455865053136,0.9188281983311595,0.09639011136200037,0.020849136583404898,0.09639011136190397,0.020849136583384043,3
forward_euler_ratio16,ortho_small,b,0.05,0.0503469975193175,0.0002544956889766579,0.05008959775469997,0.050598486149436614,0.0003469975193175027,0.0002544956889766579,0.006939950386211255,0.005089913779431359,3
forward_euler_ratio16,ortho_small,r,1.5,1.4956170168714056,0.0015985654594696454,1.493773347364893,1.496616784873516,0.004382983128594642,0.0015985654594696454,0.00292198875239448,0.0010657103063123864,3
forward_euler_ratio16,ortho_small,z,0.03,0.02992327289359202,2.8945904234589916e-05,0.029890381446202013,0.02994486447857556,7.672710640797831e-05,2.8945904234589916e-05,0.0025575702135140245,0.0009648634744541683,3
forward_euler_ratio16,l2_plus_ortho,a,1.0,0.9038974201765156,0.02022117851497387,0.8808889506855245,0.9188445910666471,0.0961025798234844,0.02022117851497387,0.09610257982338828,0.02022117851495364,3
forward_euler_ratio16,l2_plus_ortho,b,0.05,0.05035160019523236,0.0002562675788140829,0.05009319573511771,0.05060567605419457,0.00035160019523235625,0.0002562675788140829,0.0070320039045064855,0.005125351576179151,3
forward_euler_ratio16,l2_plus_ortho,r,1.5,1.4955559656986812,0.0016103749439622536,1.4937248452976124,1.4967518043638428,0.004444034301318863,0.0016103749439622538,0.0029626895342106,0.0010735832959741201,3
forward_euler_ratio16,l2_plus_ortho,z,0.03,0.029921925851973594,3.0842338732344874e-05,0.02988762190247259,0.029947365114878558,7.807414802640453e-05,3.0842338732344874e-05,0.002602471600793402,0.00102807795771056,3
heun_ratio1,none,a,1.0,0.9198042598397761,0.02306182133335141,0.8935593488030401,0.9368319793334445,0.0801957401602238,0.02306182133335141,0.0801957401601436,0.02306182133332834,3
heun_ratio1,none,b,0.05,0.05013124129086254,0.00010490809128143179,0.05002171810575257,0.050230827113013125,0.00013124129086253497,0.00010490809128143179,0.0026248258171982035,0.0020981618255866722,3
heun_ratio1,none,r,1.5,1.4976203459264692,0.0031764159328009213,1.4949051326251397,1.501113445664073,0.0031219511829127336,0.001990949436807431,0.0020813007886071014,0.0013272996245374026,3
heun_ratio1,none,z,0.03,0.02995525762655034,8.132644136758423e-05,0.029889719691061734,0.0300462724037957,7.559064264679495e-05,3.2340255947429604e-05,0.0025196880881425093,0.0010780085315450533,3
heun_ratio1,l2_small,a,1.0,0.9208943454261577,0.02094381350770219,0.8970964618230421,0.9365200654951781,0.07910565457384229,0.02094381350770219,0.07910565457376317,0.020943813507681243,3
heun_ratio1,l2_small,b,0.05,0.05010933702271523,8.068299389436707e-05,0.05005085359565023,0.05020138408691794,0.00010933702271522655,8.068299389436707e-05,0.0021867404542607965,0.0016136598778550683,3
heun_ratio1,l2_small,r,1.5,1.4975247989534306,0.0031276578200428607,1.4945748912959487,1.5008041299734822,0.0030112876955577703,0.0023174109244063364,0.0020075251303705082,0.001544940616269861,3
heun_ratio1,l2_small,z,0.03,0.02995223649597502,8.61170825377472e-05,0.02987215335100041,0.03004332872294437,7.664931932122379e-05,4.500559022298008e-05,0.002554977310622294,0.0015001863407159964,3
heun_ratio1,ortho_small,a,1.0,0.8993340924894181,0.03249852705086499,0.8793287017903872,0.9368321059442065,0.10066590751058187,0.03249852705086499,0.1006659075104812,0.0324985270508325,3
heun_ratio1,ortho_small,b,0.05,0.05023179753481727,8.669747641307572e-05,0.05013169650382896,0.05028298388159493,0.00023179753481726342,8.669747641307574e-05,0.004635950696252549,0.0017339495282268356,3
heun_ratio1,ortho_small,r,1.5,1.4965796377533678,0.0009630129670610412,1.495526829777152,1.497416026416323,0.003420362246632447,0.0009630129670610412,0.0022802414977534445,0.0006420086447069327,3
heun_ratio1,ortho_small,z,0.03,0.02992947349149451,3.876124721225469e-05,0.029884778356701447,0.029953868735579887,7.052650850549018e-05,3.876124721225469e-05,0.00235088361677131,0.0012920415736987548,3
heun_ratio1,l2_plus_ortho,a,1.0,0.8996690394705942,0.03263796195222758,0.8796233255338656,0.937329978408773,0.10033096052940589,0.032637961952227575,0.10033096052930555,0.032637961952194934,3
heun_ratio1,l2_plus_ortho,b,0.05,0.05019495567888707,0.000140612055465091,0.050084616548156664,0.05035327904842043,0.00019495567888707052,0.000140612055465091,0.0038991135776634284,0.0028122411092455753,3
heun_ratio1,l2_plus_ortho,r,1.5,1.496572864197913,0.0009683087096165709,1.4954549561233672,1.4971500640502782,0.003427135802087052,0.0009683087096165709,0.0022847572013898446,0.0006455391397439502,3
heun_ratio1,l2_plus_ortho,z,0.03,0.029940761146007012,1.0527973962394514e-05,0.029928700164807816,0.029948109887393576,5.923885399298709e-05,1.0527973962394514e-05,0.0019746284663670825,0.00035093246540145287,3
heun_ratio2,none,a,1.0,0.9231998369990704,0.017177555845594383,0.903435723513603,0.9345321655882829,0.07680016300092962,0.017177555845594383,0.07680016300085281,0.017177555845577203,3
heun_ratio2,none,b,0.05,0.049954205180787525,9.790727553857721e-05,0.04988061108960754,0.05006532427499656,8.934433587684532e-05,2.753120544999175e-05,0.0017868867175011686,0.0005506241089888225,3
heun_ratio2,none,r,1.5,1.4985010820848055,0.0011633917241278234,1.497655468717053,1.4998278709742465,0.0014989179151945198,0.0011633917241278234,0.0009992786101290136,0.0007755944827513653,3
heun_ratio2,none,z,0.03,0.02996066047220233,5.1550767796838945e-05,0.029920793910811882,0.03001887527092675,5.1923041748839355e-05,3.057574095229297e-05,0.001730768058236953,0.0010191913650424592,3
heun_ratio2,l2_small,a,1.0,0.9229119464706356,0.017374403609237594,0.9029135010993891,0.9342955599344147,0.07708805352936454,0.017374403609237594,0.07708805352928745,0.017374403609220223,3
heun_ratio2,l2_small,b,0.05,0.04995091011634772,0.00010724517073435631,0.04985891996337872,0.05006870272387191,9.489169956689487e-05,4.0119816690672995e-05,0.0018978339912999406,0.0008023963337974119,3
heun_ratio2,l2_small,r,1.5,1.4984352383213289,0.0012687919536059607,1.497570822777379,1.4998918592653534,0.001564761678671071,0.0012687919536059607,0.0010431744524466852,0.0008458613024034099,3
heun_ratio2,l2_small,z,0.03,0.02996027392926831,5.159698509446866e-05,0.029925562876424724,0.030019565191986324,5.276953205590509e-05,2.919853839507505e-05,0.0017589844018048703,0.0009732846131367257,3
heun_ratio2,ortho_small,a,1.0,0.9005572621550705,0.028713610241802825,0.8829175623477775,0.9336897046014633,0.09944273784492956,0.02871361024180282,0.0994427378448301,0.02871361024177411,3
heun_ratio2,ortho_small,b,0.05,0.050295232115948905,0.00022079619167955907,0.05007964336403599,0.05052089114223221,0.000295232115948905,0.00022079619167955907,0.005904642318860007,0.004415923833502863,3
heun_ratio2,ortho_small,r,1.5,1.4972837038985647,0.0014500551213162535,1.495678794175773,1.498499509024412,0.0027162961014353857,0.0014500551213162535,0.0018108640676223829,0.000966703414210191,3
heun_ratio2,ortho_small,z,0.03,0.029944072843307645,2.996490864871057e-05,0.02991161702865336,0.029970686357100977,5.592715669235429e-05,2.996490864871057e-05,0.0018642385563496684,0.000998830288257058,3
heun_ratio2,l2_plus_ortho,a,1.0,0.9004648648817414,0.02844606863559423,0.8832810082391415,0.9332996297529558,0.09953513511825866,0.02844606863559423,0.0995351351181591,0.02844606863556579,3
heun_ratio2,l2_plus_ortho,b,0.05,0.05026262869971771,0.00017096295781919452,0.05008265370057638,0.05042286634312699,0.00026262869971771286,0.00017096295781919452,0.005252573994249206,0.0034192591563155053,3
heun_ratio2,l2_plus_ortho,r,1.5,1.49758852206723,0.0009368071344523449,1.4966011062708344,1.4984648069392934,0.0024114779327699676,0.0009368071344523449,0.0016076519551789065,0.0006245380896344803,3
heun_ratio2,l2_plus_ortho,z,0.03,0.029950251628763136,1.8120906284660568e-05,0.029932271430958994,0.029968510039796895,4.974837123686062e-05,1.8120906284660568e-05,0.0016582790411734114,0.0006040302094685513,3
heun_ratio4,none,a,1.0,0.9219758149312041,0.019272464140987322,0.8997680230944994,0.9343200174119997,0.07802418506879598,0.019272464140987322,0.07802418506871794,0.019272464140968053,3
heun_ratio4,none,b,0.05,0.04991051398859026,7.667864635278024e-05,0.049827803012446846,0.04997923342421248,8.948601140974094e-05,7.667864635278024e-05,0.0017897202281590243,0.0015335729270249334,3
heun_ratio4,none,r,1.5,1.4988151017631821,0.0008965418465037075,1.4977861923522222,1.4994285329838604,0.0011848982368178145,0.0008965418465037075,0.0007899321578780163,0.0005976945643354065,3
heun_ratio4,none,z,0.03,0.029962015650440238,4.1097883632728426e-05,0.029935376806045667,0.03000934705605632,4.421572026397716e-05,3.0343160326722134e-05,0.0014738573420834435,0.00101143867752369,3
heun_ratio4,l2_small,a,1.0,0.922618331647265,0.01817319665133518,0.9016601400864449,0.9340088721067853,0.07738166835273504,0.01817319665133518,0.07738166835265765,0.018173196651317006,3
heun_ratio4,l2_small,b,0.05,0.049934974832943034,4.9147576283213114e-05,0.04990016523894304,0.049991195907181846,6.50251670569757e-05,4.9147576283213114e-05,0.001300503341113504,0.0009829515256446033,3
heun_ratio4,l2_small,r,1.5,1.4985121037403015,0.001103588771974882,1.4973499549783584,1.4995459096851878,0.0014878962596984735,0.001103588771974882,0.000991930839798321,0.0007357258479827641,3
heun_ratio4,l2_small,z,0.03,0.029949177059896175,5.115899077274424e-05,0.029914039099453078,0.03000787066946329,5.6070053079351756e-05,4.214170048300362e-05,0.0018690017692494256,0.0014047233493866302,3
heun_ratio4,ortho_small,a,1.0,0.9037676508700336,0.026275482942313844,0.8833770684338401,0.933419794731516,0.09623234912996637,0.026275482942313844,0.09623234912987012,0.026275482942287567,3
heun_ratio4,ortho_small,b,0.05,0.05019603897611263,0.00011644688167256244,0.050100368132851604,0.05032569856021094,0.00019603897611262613,0.00011644688167256244,0.003920779522174108,0.00232893763340467,3
heun_ratio4,ortho_small,r,1.5,1.4981306858109817,0.00046830520927195813,1.4976950252338155,1.4986259321502156,0.0018693141890182563,0.00046830520927195813,0.0012462094593446733,0.000312203472847764,3
heun_ratio4,ortho_small,z,0.03,0.02996342759181146,5.116382586590704e-06,0.029958293109613503,0.029968525680632352,3.657240818853944e-05,5.116382586590704e-06,0.001219080272910679,0.00017054608621400527,3
heun_ratio4,l2_plus_ortho,a,1.0,0.9059379852578021,0.02565091063544696,0.8836428822983289,0.9339723808609252,0.09406201474219796,0.02565091063544696,0.09406201474210389,0.025650910635421305,3
heun_ratio4,l2_plus_ortho,b,0.05,0.050248095762974794,0.00018458064486265595,0.05008013961093165,0.050445709496697015,0.0002480957629747936,0.00018458064486265595,0.0049619152593966325,0.0036916128971792865,3
heun_ratio4,l2_plus_ortho,r,1.5,1.4976228152757394,0.0009358781690283239,1.4970081887512405,1.4986998970900878,0.0023771847242607023,0.0009358781690283239,0.0015847898161727447,0.0006239187793517999,3
heun_ratio4,l2_plus_ortho,z,0.03,0.02994767101878808,2.1995376168269093e-05,0.029930500957483286,0.029972463711791224,5.2328981211920374e-05,2.1995376168269093e-05,0.0017442993736725362,0.0007331792055845306,3
