training_config,regularization_profile,seed,vf_error_mse,vf_error_mean_norm,vf_error_max_norm
heun_ratio8,none,0,0.0055671774945391965,0.0644529394310334,0.20093115633802253
heun_ratio8,none,1,0.0013636607507740751,0.032692297407909715,0.07709941288063515
heun_ratio8,none,2,0.0029406510022055147,0.04631655898892455,0.13802550021296386
heun_ratio8,l2_small,0,0.0051796878468699644,0.061713122713690775,0.18255506329190496
heun_ratio8,l2_small,1,0.0013132897462732147,0.031556519795496125,0.07989903812309707
heun_ratio8,l2_small,2,0.0027402094750438215,0.044672410431959256,0.13686334287055046
heun_ratio8,ortho_small,0,0.002200993666157898,0.04151117875333845,0.10916951118679961
heun_ratio8,ortho_small,1,0.004782643430580078,0.059797175406922934,0.18698828074207152
heun_ratio8,ortho_small,2,0.0030483197102434746,0.04638032537762195,0.13695730628651548
heun_ratio8,l2_plus_ortho,0,0.002456222319309564,0.043443185661017944,0.11995634308746556
heun_ratio8,l2_plus_ortho,1,0.005148621176258295,0.06218295356707994,0.19490405289811835
heun_ratio8,l2_plus_ortho,2,0.0039199215465784264,0.05157383733646008,0.16044141219729474
heun_ratio16,none,0,0.005538571204312326,0.0635829067901335,0.1873354645144097
heun_ratio16,none,1,0.0013322766913067136,0.03181503434225646,0.07982028005397523
heun_ratio16,none,2,0.0026405050428746444,0.043921161882255116,0.13475404131901259
heun_ratio16,l2_small,0,0.00551905669111962,0.06345313959057258,0.17910405629328469
heun_ratio16,l2_small,1,0.0013238448458208695,0.03165966047091047,0.07974132745605292
heun_ratio16,l2_small,2,0.003352373007408749,0.04894216009273381,0.1516765411212577
heun_ratio16,ortho_small,0,0.0022058641697917285,0.041461084791400156,0.10958008419378572
heun_ratio16,ortho_small,1,0.004717245508628064,0.05952246641893933,0.18390242482762834
heun_ratio16,ortho_small,2,0.003885611004750509,0.05134206386046044,0.1621142714500288
heun_ratio16,l2_plus_ortho,0,0.0022584722581789917,0.04192297100603354,0.10937389863832336
heun_ratio16,l2_plus_ortho,1,0.004927017092086157,0.06071249984780481,0.18805550492252693
heun_ratio16,l2_plus_ortho,2,0.003402079545114672,0.048583783921067145,0.14650092364333317
rk4_ratio1,none,0,0.005588238124197882,0.06478974636253738,0.2013442348152459
rk4_ratio1,none,1,0.0009706376655165083,0.027823454899006898,0.06356293998101319
rk4_ratio1,none,2,0.0030241892453213137,0.04646372893013974,0.14615067650730826
rk4_ratio1,l2_small,0,0.005554476190887123,0.06484698866551272,0.1972858549193376
rk4_ratio1,l2_small,1,0.0009439818937816015,0.027319197017863738,0.06636791272507075
rk4_ratio1,l2_small,2,0.0024090218322928153,0.04200497749579818,0.12820176923936336
rk4_ratio1,ortho_small,0,0.002334491273476423,0.04216101134806487,0.11973963586402837
